Depth[m],Psi[m] 
1.996875,-0.003125
1.990625,-0.009375
1.984375,-0.015625
1.978125,-0.021875
1.971875,-0.028125
1.965625,-0.034375
1.959375,-0.040625
1.953125,-0.046875
1.946875,-0.053125
1.940625,-0.059375
1.934375,-0.065625
1.928125,-0.071875
1.921875,-0.078125
1.915625,-0.084375
1.909375,-0.090625
1.903125,-0.096875
1.896875,-0.103125
1.890625,-0.109375
1.884375,-0.115625
1.878125,-0.121875
1.871875,-0.128125
1.865625,-0.134375
1.859375,-0.140625
1.853125,-0.146875
1.846875,-0.153125
1.840625,-0.159375
1.834375,-0.165625
1.828125,-0.171875
1.821875,-0.178125
1.815625,-0.184375
1.809375,-0.190625
1.803125,-0.196875
1.796875,-0.203125
1.790625,-0.209375
1.784375,-0.215625
1.778125,-0.221875
1.771875,-0.228125
1.765625,-0.234375
1.759375,-0.240625
1.753125,-0.246875
1.746875,-0.253125
1.740625,-0.259375
1.734375,-0.265625
1.728125,-0.271875
1.721875,-0.278125
1.715625,-0.284375
1.709375,-0.290625
1.703125,-0.296875
1.696875,-0.303125
1.690625,-0.309375
1.684375,-0.315625
1.678125,-0.321875
1.671875,-0.328125
1.665625,-0.334375
1.659375,-0.340625
1.653125,-0.346875
1.646875,-0.353125
1.640625,-0.359375
1.634375,-0.365625
1.628125,-0.371875
1.621875,-0.378125
1.615625,-0.384375
1.609375,-0.390625
1.603125,-0.396875
1.596875,-0.403125
1.590625,-0.409375
1.584375,-0.415625
1.578125,-0.421875
1.571875,-0.428125
1.565625,-0.434375
1.559375,-0.440625
1.553125,-0.446875
1.546875,-0.453125
1.540625,-0.459375
1.534375,-0.465625
1.528125,-0.471875
1.521875,-0.478125
1.515625,-0.484375
1.509375,-0.490625
1.503125,-0.496875
1.496875,-0.503125
1.490625,-0.509375
1.484375,-0.515625
1.478125,-0.521875
1.471875,-0.528125
1.465625,-0.534375
1.459375,-0.540625
1.453125,-0.546875
1.446875,-0.553125
1.440625,-0.559375
1.434375,-0.565625
1.428125,-0.571875
1.421875,-0.578125
1.415625,-0.584375
1.409375,-0.590625
1.403125,-0.596875
1.396875,-0.603125
1.390625,-0.609375
1.384375,-0.615625
1.378125,-0.621875
1.371875,-0.628125
1.365625,-0.634375
1.359375,-0.640625
1.353125,-0.646875
1.346875,-0.653125
1.340625,-0.659375
1.334375,-0.665625
1.328125,-0.671875
1.321875,-0.678125
1.315625,-0.684375
1.309375,-0.690625
1.303125,-0.696875
1.296875,-0.703125
1.290625,-0.709375
1.284375,-0.715625
1.278125,-0.721875
1.271875,-0.728125
1.265625,-0.734375
1.259375,-0.740625
1.253125,-0.746875
1.246875,-0.753125
1.240625,-0.759375
1.234375,-0.765625
1.228125,-0.771875
1.221875,-0.778125
1.215625,-0.784375
1.209375,-0.790625
1.203125,-0.796875
1.196875,-0.803125
1.190625,-0.809375
1.184375,-0.815625
1.178125,-0.821875
1.171875,-0.828125
1.165625,-0.834375
1.159375,-0.840625
1.153125,-0.846875
1.146875,-0.853125
1.140625,-0.859375
1.134375,-0.865625
1.128125,-0.871875
1.121875,-0.878125
1.115625,-0.884375
1.109375,-0.890625
1.103125,-0.896875
1.096875,-0.903125
1.090625,-0.909375
1.084375,-0.915625
1.078125,-0.921875
1.071875,-0.928125
1.065625,-0.934375
1.059375,-0.940625
1.053125,-0.946875
1.046875,-0.953125
1.040625,-0.959375
1.034375,-0.965625
1.028125,-0.971875
1.021875,-0.978125
1.015625,-0.984375
1.009375,-0.990625
1.003125,-0.996875
0.996875,-1.003125
0.990625,-1.009375
0.984375,-1.015625
0.978125,-1.021875
0.971875,-1.028125
0.965625,-1.034375
0.959375,-1.040625
0.953125,-1.046875
0.946875,-1.053125
0.940625,-1.059375
0.934375,-1.065625
0.928125,-1.071875
0.921875,-1.078125
0.915625,-1.084375
0.909375,-1.090625
0.903125,-1.096875
0.896875,-1.103125
0.890625,-1.109375
0.884375,-1.115625
0.878125,-1.121875
0.871875,-1.128125
0.865625,-1.134375
0.859375,-1.140625
0.853125,-1.146875
0.846875,-1.153125
0.840625,-1.159375
0.834375,-1.165625
0.828125,-1.171875
0.821875,-1.178125
0.815625,-1.184375
0.809375,-1.190625
0.803125,-1.196875
0.796875,-1.203125
0.790625,-1.209375
0.784375,-1.215625
0.778125,-1.221875
0.771875,-1.228125
0.765625,-1.234375
0.759375,-1.240625
0.753125,-1.246875
0.746875,-1.253125
0.740625,-1.259375
0.734375,-1.265625
0.728125,-1.271875
0.721875,-1.278125
0.715625,-1.284375
0.709375,-1.290625
0.703125,-1.296875
0.696875,-1.303125
0.690625,-1.309375
0.684375,-1.315625
0.678125,-1.321875
0.671875,-1.328125
0.665625,-1.334375
0.659375,-1.340625
0.653125,-1.346875
0.646875,-1.353125
0.640625,-1.359375
0.634375,-1.365625
0.628125,-1.371875
0.621875,-1.378125
0.615625,-1.384375
0.609375,-1.390625
0.603125,-1.396875
0.596875,-1.403125
0.590625,-1.409375
0.584375,-1.415625
0.578125,-1.421875
0.571875,-1.428125
0.565625,-1.434375
0.559375,-1.440625
0.553125,-1.446875
0.546875,-1.453125
0.540625,-1.459375
0.534375,-1.465625
0.528125,-1.471875
0.521875,-1.478125
0.515625,-1.484375
0.509375,-1.490625
0.503125,-1.496875
0.496875,-1.503125
0.490625,-1.509375
0.484375,-1.515625
0.478125,-1.521875
0.471875,-1.528125
0.465625,-1.534375
0.459375,-1.540625
0.453125,-1.546875
0.446875,-1.553125
0.440625,-1.559375
0.434375,-1.565625
0.428125,-1.571875
0.421875,-1.578125
0.415625,-1.584375
0.409375,-1.590625
0.403125,-1.596875
0.396875,-1.603125
0.390625,-1.609375
0.384375,-1.615625
0.378125,-1.621875
0.371875,-1.628125
0.365625,-1.634375
0.359375,-1.640625
0.353125,-1.646875
0.346875,-1.653125
0.340625,-1.659375
0.334375,-1.665625
0.328125,-1.671875
0.321875,-1.678125
0.315625,-1.684375
0.309375,-1.690625
0.303125,-1.696875
0.296875,-1.703125
0.290625,-1.709375
0.284375,-1.715625
0.278125,-1.721875
0.271875,-1.728125
0.265625,-1.734375
0.259375,-1.740625
0.253125,-1.746875
0.246875,-1.753125
0.240625,-1.759375
0.234375,-1.765625
0.228125,-1.771875
0.221875,-1.778125
0.215625,-1.784375
0.209375,-1.790625
0.203125,-1.796875
0.196875,-1.803125
0.190625,-1.809375
0.184375,-1.815625
0.178125,-1.821875
0.171875,-1.828125
0.165625,-1.834375
0.159375,-1.840625
0.153125,-1.846875
0.146875,-1.853125
0.140625,-1.859375
0.134375,-1.865625
0.128125,-1.871875
0.121875,-1.878125
0.115625,-1.884375
0.109375,-1.890625
0.103125,-1.896875
0.096875,-1.903125
0.090625,-1.909375
0.084375,-1.915625
0.078125,-1.921875
0.071875,-1.928125
0.065625,-1.934375
0.059375,-1.940625
0.053125,-1.946875
0.046875,-1.953125
0.040625,-1.959375
0.034375,-1.965625
0.028125,-1.971875
0.021875,-1.978125
0.015625,-1.984375
0.009375,-1.990625
0.003125,-1.996875
0.000000,0.200000